Name,Category,Description,Website,DonationLink,CN.Link
"""The Trevor Project""",LGBT+ rights,"""The Trevor Project offers accredited crisis intervention and suicide prevention services and programs to lesbian, gay, bisexual, transgender and questioning people ages 13-24.""",http://www.thetrevorproject.org/,https://give.thetrevorproject.org/checkout/donation?eid=63307,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11281
"""Transgender Law Center""",LGBT+ rights,"""TLC works to influence laws, policies and attitudes so everyone &ndash; regardless of gender identity or expression &ndash; can live authentic, safe and discrimination-free lives.""",https://transgenderlawcenter.org/,https://transgenderlawcenter.org/donate,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16333
"""Violence Policy Center""",Public health,"""Violence Policy Center analyzes gun violence data to recommend evidence-based gun regulation policies.""",http://www.vpc.org/,https://act.myngp.com/Forms/-5780143629078951168,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10167
"""Planned Parenthood""",Public health,"""Planned Parenthood provides comprehensive, affordable reproductive health care services for men, women, and adolescents.""",https://www.plannedparenthood.org/,https://secure.ppaction.org/site/Donation2?df_id=12913&12913.donation=form1&_ga=1.17377405.572213867.1484432229,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4338
"""American Indian College Fund""",Racial inequality,"""American Indian College Fund provides college scholarships to American Indians and provides support to tribal colleges and universities. """,http://collegefund.org/,https://community.collegefund.org/donate,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3263
"""Advancement Project""",Racial inequality,"""Advancement Project is a multi-racial civil rights organization that provides legal and communications resources for grassroots organizations.""",http://www.advancementproject.org/content/home,https://donate.advancementproject.org/page/contribute/Donate-today,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16010
"""Equal Justice Initiative""",Racial inequality,"""The Equal Justice Initiative researches and educates the public about racial and economic biases in the justice system. They also provide re-entry assistance after incarceration and legal representation for people who have been illegally convicted, unfairly sentenced, or abused while incarcerated.""",http://eji.org/,https://donatenow.networkforgood.org/eji,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12756
"""Carbonfund.org""",Science and environment,"""Carbonfund.org fights global warming through carbon offset projects and public education to reduce carbon emmissions. Carbon offset projects include both energy and reforestation initiatives.""",https://carbonfund.org/,https://carbonfund.org/product/general-donation/,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12315
"""Wild Earth Allies, Inc.""",Science and environment,"""Wild Earth Allies, Inc. partners with local organizations across the global to create effective, long-term plans to protect wildlife and habitats.""",https://wildearthallies.org/,https://donatenow.networkforgood.org/wildearthallies,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10635
"""Santa Fe Institute""",Science and environment,"""SFI is an independent research institution focusing on complexity science theory, which can be applied to a broad range of public policy issues.""",https://www.santafe.edu/,https://www.santafe.edu/engage/support/give-now,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4437
"""The Clinton Foundation""",TBH I just want to keep supporting Hilldawg,"""The Clinton Foundation partners with individuals and organizations worldwide to address a broad range of global issues, including global health, climate change, and gender equality""",https://www.clintonfoundation.org/,https://bbis.clintonfoundation.org/donate,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16680
"""Center for Community Change""",Wealth inequality,"""CCC empowers low-income people by bringing together, funding, and training grassroots groups to create coalitions that can effect policy changes.""",https://www.communitychange.org/,https://www.communitychange.org/real-change/monthly-giving/,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6214
"""LIFT""",Wealth inequality,"""LIFT volunteers work with low-income parents to help them achieve their personal, social, and financial goals and break the cycle of poverty.""",http://www.liftcommunities.org/,https://donatenow.networkforgood.org/donatetolift,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11342
"""Feeding America""",Wealth inequality,"""Feeding America works to end hunger in the U.S. by recovering food that would be wasted to provide meal programs and food banks for those in need.""",http://www.feedingamerica.org/,https://secure.feedingamerica.org/site/Donation2;jsessionid=00000000.app213b?df_id=15040&15040.donation=form1&s_onsite_promo=MainNav_Donate&s_src=W171ORGSC&s_referrer=google&s_subsrc=http%3A%2F%2Fwww.feedingamerica.org%2F&_ga=1.249100551.1095775527.1484436800&NONCE_TOKEN=2D00B3ED4B34E0B91BA6B64C74EB87E1,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5271
"""HeathWell Foundation""",Public health,"""The Affordable Care Act provided access to health insurance for millions of people, but many people cannot afford treatment even with health insurance. HealthWell helps insured patients with chronic or life-altering illnesses pay for health insurance premiums, copayments, and deductibles they cannot afford.""",https://www.healthwellfoundation.org/,https://www.healthwellfoundation.org/ways-to-give/general-donation/,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13241
"""Patient Advocate Foundation""",Public health,"""Case managers, doctors, and attorneys at Patient Advocate Foundation help patients resolve insurance, employment, and financial issues that arise because of a chronic or life-threatening illness.""",http://www.patientadvocate.org/,http://www.patientadvocate.org/index.php?p=207,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12466
"""National Institute on Money in State Politics""",Civil liberties,"""A recipient of the 2015 MacArthur Award for Creative and Effective Institutions, The Institute researches and archives a database of over $50 billion in contributions to national and state politicians, 2 million state lobbyist-client relationships, and independent spending reports for federal campaigns. This nonpartisan effort promotes accountability and transparency in our government.""",http://www.followthemoney.org/,http://www.followthemoney.org/about-us/donate/,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11240
"""CLASP""",Wealth inequality,"""CLASP works to reform policies that adversely effect low-income people through research and advocacy at the federal, state, and local levels.""",http://www.clasphome.org/,https://org2.salsalabs.com/o/5728/p/salsa/donation/common/public/?donate_page_KEY=1149,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9420
"""Center on Budget and Policy Priorities""",Wealth inequality,"""CBPP is a nonpartisan organization that aims to improve the nation's fiscal health without adversely affecting low-income people. CBPP analyzes the economic and individual impact of budgets, tax policies, low-income programs, and social insurance programs.""",http://www.cbpp.org/,http://www.cbpp.org/donate,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3458
"""Native American Rights Fund""",Racial inequality,"""NARF provides legal representation to Indian tribes to help them protect their sovereignty, religious freedoms, voting rights, and lands. Most recently, NARF has been <a target=""_blank"" href='http://www.narf.org/2016/09/narf-working-earthjustice-coordinate-amicus-briefing-strategy/'> working with </a> the Standing Rock Sioux Tribe in their effort to stop the Dakota Access Pipeline.""",http://www.narf.org/,https://secure2.convio.net/narf/site/Donation2;jsessionid=00000000.app274a?idb=364392877&DONATION_LEVEL_ID_SELECTED=1&df_id=1641&1641.donation=form1&mfc_pref=T&NONCE_TOKEN=A9E785B5E000A465312BF004DA957B76&idb=0,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4204
"""DonorsChoose.org""",Wealth inequality,"""DonorsChoose.org accepts and vets teachers' requests for classroom supplies. Donors can choose which classroom projects they want to fund, and DonorsChoose.org fulfills each order once enough money has been raised.""",https://www.donorschoose.org/,https://secure.donorschoose.org/donors/lastingImpact.html?execution=e1s1,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9284
"""Point Foundation""",LGBT+ rights,"""LGBTQ students drop out of high school at three times the national rate, often due to bullying and harassment. Point Foundation provides financial support, internship opportunities, and mentorship to help LGBTQ students succeed.""",https://www.pointfoundation.org/,https://my.pointfoundation.org/donate,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10989
"""Environmental and Energy Study Institute""",Science and environment,"""Founded by a bipartisan Congressional caucus in 1984, EESI works to enact policies in the U.S. to combat climate change. EESI educates members of Congress in Capitol Hill briefings and works with both sides of the aisle to propose policies that reduce greenhouse gas emissions while creating jobs and strengthening national security.""",http://www.eesi.org/,https://donatenow.networkforgood.org/1436212,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7100
"""Environmental Defense Fund""",Science and environment,"""EDF strives to improve the four pillars of global environmental issues: climate, oceans, ecosystem, and health. EDF has successfully gained bipartisan support for policies in an increasingly polarized Congress, including The Lautenberg Act in 2016 (House vote 403-12).""",https://www.edf.org/,https://secure2.edf.org/site/Donation2?df_id=18379&18379.donation=form1&addl_info=nav-button_/about/our-mission-and-values,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3671
"""Environmental Integrity Project""",Science and environment,"""Through technical analysis, legal action, and community outreach, EIP works to enforce existing environmental laws, ensuring that Americans are receiving the environmental protections they are legally entitled to.""",https://www.environmentalintegrity.org/,https://environmentalintegrityproject.salsalabs.org/salsaengagestarterfundraisingform/index.html,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14003
